,Date,Year,Month,Global Temperature Anomalies,Global Precipitation,Nino 1+2 SST,Nino 1+2 SST Anomalies,Nino 3 SST,Nino 3 SST Anomalies,Nino 3.4 SST,Nino 3.4 SST Anomalies,Nino 4 SST,Nino 4 SST Anomalies,TNI OISST,TNI HadISST,PNA,OLR,SOI,Season (2-Month),MEI.ext,MEI.v2,Season (3-Month),ONI,Season (12-Month),ENSO Phase-Intensity
130,1960-11-01,1960,NOV,-0.12,,,,,,,,,,-0.357,-0.357,-0.52,,0.5,ON,-0.286,,OND,0.1,1960-1961,N
131,1960-12-01,1960,DEC,0.23,,,,,,,,,,-0.076,-0.076,1.15,,0.8,ND,-0.197,,NDJ,0.1,1960-1961,N
132,1961-01-01,1961,JAN,0.11,,,,,,,,,,0.146,0.146,1.16,,-0.3,DJ,-0.011,,DJF,0.0,1961-1962,N
133,1961-02-01,1961,FEB,0.17,,,,,,,,,,0.325,0.325,0.17,,0.9,JF,0.016,,JFM,0.0,1961-1962,N
134,1961-03-01,1961,MAR,0.12,,,,,,,,,,0.468,0.468,0.28,,-1.8,FM,-0.065,,FMA,0.0,1961-1962,N
135,1961-04-01,1961,APR,0.15,,,,,,,,,,0.23,0.23,-1.14,,0.8,MA,0.156,,MAM,0.1,1961-1962,N
136,1961-05-01,1961,MAY,0.14,,,,,,,,,,-0.237,-0.237,-0.25,,0.3,AM,0.273,,AMJ,0.2,1961-1962,N
137,1961-06-01,1961,JUN,0.13,,,,,,,,,,-0.396,-0.396,1.84,,0.1,MJ,0.193,,MJJ,0.3,1961-1962,N
138,1961-07-01,1961,JUL,0.07,,,,,,,,,,-0.583,-0.583,-0.52,,0.2,JJ,0.087,,JJA,0.1,1961-1962,N
139,1961-08-01,1961,AUG,0.06,,,,,,,,,,-0.489,-0.489,0.47,,0.2,JA,0.108,,JAS,-0.1,1961-1962,N
140,1961-09-01,1961,SEP,0.07,,,,,,,,,,-0.312,-0.312,1.1,,0.1,AS,0.006,,ASO,-0.3,1961-1962,N
141,1961-10-01,1961,OCT,-0.01,,,,,,,,,,0.059,0.059,-1.94,,-0.3,SO,-0.396,,SON,-0.3,1961-1962,N
142,1961-11-01,1961,NOV,0.03,,,,,,,,,,0.371,0.371,-0.4,,0.5,ON,-0.508,,OND,-0.2,1961-1962,N
143,1961-12-01,1961,DEC,-0.12,,,,,,,,,,0.618,0.618,-1.54,,1.5,ND,-0.526,,NDJ,-0.2,1961-1962,N
144,1962-01-01,1962,JAN,0.07,,,,,,,,,,0.329,0.329,-0.74,,2.0,DJ,-0.894,,DJF,-0.2,1962-1963,N
145,1962-02-01,1962,FEB,0.16,,,,,,,,,,-0.102,-0.102,-0.54,,-0.3,JF,-0.891,,JFM,-0.2,1962-1963,N
146,1962-03-01,1962,MAR,0.16,,,,,,,,,,-0.282,-0.282,-0.71,,0.1,FM,-0.434,,FMA,-0.2,1962-1963,N
147,1962-04-01,1962,APR,0.05,,,,,,,,,,-0.71,-0.71,-1.5,,0.2,MA,-0.436,,MAM,-0.3,1962-1963,N
148,1962-05-01,1962,MAY,-0.04,,,,,,,,,,-0.999,-0.999,-1.11,,1.1,AM,-0.975,,AMJ,-0.3,1962-1963,N
149,1962-06-01,1962,JUN,0.03,,,,,,,,,,-0.853,-0.853,-0.97,,0.7,MJ,-0.894,,MJJ,-0.2,1962-1963,N
150,1962-07-01,1962,JUL,0.03,,,,,,,,,,-0.498,-0.498,-0.36,,0.1,JJ,-0.408,,JJA,0.0,1962-1963,N
151,1962-08-01,1962,AUG,0.0,,,,,,,,,,-0.61,-0.61,0.57,,0.6,JA,-0.408,,JAS,-0.1,1962-1963,N
152,1962-09-01,1962,SEP,0.03,,,,,,,,,,-0.537,-0.537,-0.83,,0.4,AS,-0.534,,ASO,-0.1,1962-1963,N
153,1962-10-01,1962,OCT,0.03,,,,,,,,,,-0.482,-0.482,1.33,,1.0,SO,-0.59,,SON,-0.2,1962-1963,N
154,1962-11-01,1962,NOV,0.11,,,,,,,,,,-0.321,-0.321,0.53,,0.3,ON,-0.616,,OND,-0.3,1962-1963,N
155,1962-12-01,1962,DEC,0.03,,,,,,,,,,-0.306,-0.306,-0.38,,0.2,ND,-0.3,,NDJ,-0.4,1962-1963,N
156,1963-01-01,1963,JAN,0.0,,,,,,,,,,-0.127,-0.127,0.09,,1.0,DJ,-0.371,,DJF,-0.4,1963-1964,ME
157,1963-02-01,1963,FEB,0.2,,,,,,,,,,-0.111,-0.111,0.79,,0.6,JF,-0.579,,JFM,-0.2,1963-1964,ME
158,1963-03-01,1963,MAR,-0.1,,,,,,,,,,0.063,0.063,-2.04,,1.1,FM,-0.461,,FMA,0.2,1963-1964,ME
159,1963-04-01,1963,APR,-0.03,,,,,,,,,,0.003,0.003,-0.79,,0.8,MA,-0.233,,MAM,0.3,1963-1964,ME
160,1963-05-01,1963,MAY,-0.04,,,,,,,,,,-0.1,-0.1,-0.95,,0.4,AM,0.037,,AMJ,0.3,1963-1964,ME
161,1963-06-01,1963,JUN,0.03,,,,,,,,,,-0.251,-0.251,0.5,,-0.5,MJ,0.232,,MJJ,0.5,1963-1964,ME
162,1963-07-01,1963,JUL,0.08,,,,,,,,,,-0.173,-0.173,-1.1,,-0.1,JJ,0.508,,JJA,0.9,1963-1964,ME
163,1963-08-01,1963,AUG,0.2,,,,,,,,,,-0.367,-0.367,-1.01,,0.0,JA,0.91,,JAS,1.1,1963-1964,ME
164,1963-09-01,1963,SEP,0.17,,,,,,,,,,-0.625,-0.625,0.87,,-0.6,AS,1.059,,ASO,1.2,1963-1964,ME
165,1963-10-01,1963,OCT,0.13,,,,,,,,,,-0.722,-0.722,0.93,,-1.2,SO,1.11,,SON,1.3,1963-1964,ME
166,1963-11-01,1963,NOV,0.11,,,,,,,,,,-0.93,-0.93,-0.31,,-0.8,ON,1.07,,OND,1.4,1963-1964,ME
167,1963-12-01,1963,DEC,0.05,,,,,,,,,,-1.273,-1.273,1.46,,-1.2,ND,0.974,,NDJ,1.3,1963-1964,ME
168,1964-01-01,1964,JAN,-0.05,,,,,,,,,,-1.342,-1.342,-0.44,,-0.4,DJ,0.933,,DJF,1.1,1964-1965,WL
169,1964-02-01,1964,FEB,-0.1,,,,,,,,,,-1.304,-1.304,1.36,,0.0,JF,0.73,,JFM,0.6,1964-1965,WL
170,1964-03-01,1964,MAR,-0.21,,,,,,,,,,-1.543,-1.543,-1.31,,1.1,FM,0.25,,FMA,0.1,1964-1965,WL
